	token	coref	ner
102	het	(9	O
103	bestemmingsplan	O	O
104	Wheermolen	O	O
105	2010	O	O
106	te	O	O
107	Purmerend	9)|(10)	O
108	.	O	O
109	Het	(11	O
110	advies	11)	O
111	gaat	O	O
112	in	O	O
113	op	O	O
114	het	(13|(12	O
115	groepsrisico	12)	O
116	,	O	O
117	de	(15|(14	O
118	mogelijkheden	O	O
119	voor	O	O
120	hulpverlening	14)|(16)	O
121	en	O	O
122	zelfredzaamheid	15)|13)|(17)	O
123	.	O	O
124	Hierbij	O	O
125	bieden	O	O
126	wij	(18)	O
127	u	(19)	O
128	het	(20	O
129	gevraagde	O	O
130	externe	O	O
131	veiligheidsadvies	20)	O
132	aan	O	O
133	.	O	O
134	Wij	(18)	O
135	verzoeken	O	O
136	u	(19)	O
137	dit	(22|(21	O
138	advies	21)	O
139	en	O	O
140	de	(23	O
141	genoemde	O	O
142	maatregelen	23)|22)	O
143	te	O	O
144	betrekken	O	O
145	bij	O	O
146	de	(24	O
147	afweging	O	O
148	voor	O	O
149	het	(25	O
150	nemen	O	O
151	van	O	O
152	de	(26	O
153	beslissing	O	O
154	over	O	O
155	het	(9	O
156	bestemmingsplan	O	O
157	Wheermolen	O	O
158	2010	9)|26)|25)|24)	O
159	.	O	O
160	Graag	O	O
161	ontvangen	O	O
162	wij	(27)	O
163	een	(28	O
164	korte	O	O
165	terugkoppeling	O	O
166	van	O	O
167	uw	(30|(29	O
168	bevindingen	O	O
169	ten	O	O
170	aanzien	O	O
171	van	O	O
172	dit	(31	O
173	advies	31)|29)	O
174	en/of	O	O
175	een	(32	O
176	afschrift	O	O
177	van	O	O
178	uw	(33	O
179	besluit	33)|32)|30)|28)	O
180	.	O	O
181	Voor	O	O
182	vragen	(34)|(35	O
183	of	O	O
184	nadere	(36	O
185	toelichting	36)|35)	O
186	kunt	O	O
187	u	(37)	O
188	contact	(38)	O
189	opnemen	O	O
190	met	O	O
191	mevrouw	(40|(39	O
192	M.	O	B-PER
193	Fan	39)	E-PER
194	,	O	O
195	Beleidsmedewerker	O	O
196	Risicobeheersing	O	O
197	,	O	O
198	telefoonnummer	(41	O
199	(	O	O
200	75	O	O
201	)	O	O
202	681	O	O
203	18	O	O
204	25	41)	O
205	of	O	O
206	e-mail	O	O
207	m.fan@vrzw.nl	40)	B-PER
208	.	O	O
209	Een	(42	O
210	afschrift	O	O
211	van	O	O
212	deze	(43	O
213	brief	43)|42)	O
214	is	O	O
215	verstuurd	O	O
216	aan	O	O
217	de	(45|(44	O
218	commandant	O	O
219	van	O	O
220	Brandweer	(10	O
221	Purmerend	10)|44)	O
222	de	O	O
223	heer	O	O
224	J.N.P.	O	B-PER
225	Schouten	45)	E-PER
226	.	O	O
227	Wij	(46)	O
228	vertrouwen	O	O
229	erop	O	O
230	u	(19)	O
231	hiermee	O	O
232	voldoende	O	O
233	te	O	O
234	hebben	O	O
235	geïnformeerd	O	O
236	.	O	O
237	Hoogachtend	O	O
238	,	O	O
239	Namens	O	O
240	het	O	O
241	Veiligheidsbestuur	O	O
242	van	O	O
243	Veiligheidsregio	O	O
244	Zaanstreek-Waterland	O	O
245	,	O	O
246	Mevrou	O	B-PER
247	/	O	O
248	‚J	O	B-PER
249	'	O	B-PER
250	Xan	O	I-PER
251	Beek	O	E-PER
252	Hoofd/Ádelindg	O	O
253	Crisisbeheersing	O	O
254	&	O	O
255	Rampenbestrijding	O	O
256	CC	O	O
257	:	O	O
258	Commandant	O	O
259	Brandweer	O	O
260	Purmerend	O	O
261	,	O	O
262	de	(47	O
263	heer	O	O
264	J.N.P.	O	B-PER
265	Schouten	47)	E-PER
266	,	O	O
267	Gorslaan	(48	O
268	50	48)	O
269	,	O	O
270	1441	O	O
271	RG	O	O
272	Purmerend	O	O
273	Bijlage	O	O
274	:	O	O
275	Advies	(49	O
276	externe	O	O
277	veiligheid	O	O
278	bestemmingsplan	O	O
279	Wheermolen	O	O
280	2010	O	O
281	te	O	O
282	Purmerend	(50)	O
283	kenmerk	O	O
284	2011/21/RO/4594/1	(51)	O
285	,	O	O
286	d.d.	O	O
287	18	(52	O
288	april	O	O
289	2011	52)|49)	O
