	token	coref	ner
116	waren	O	O
117	op	O	O
118	het	(19|(18	O
119	verbeteren	O	O
120	van	O	O
121	de	(20	O
122	opvang	O	O
123	van	O	O
124	veteranen	20)|18)|(21)	O
125	en	O	O
126	het	(22	O
127	verbeteren	O	O
128	van	O	O
129	de	(23	O
130	informatievoorziening	O	O
131	hieromtrent	23)|22)|19)|17)	O
132	.	O	O
133	In	O	O
134	mijn	(2)|(24	O
135	reactie	O	O
136	op	O	O
137	aanbeveling	(25	O
138	vier	25)|24)|(26)	O
139	heb	O	O
140	ik	(2)	O
141	u	(15)	O
142	toegezegd	O	O
143	in	O	O
144	overleg	(27)	O
145	te	O	O
146	treden	O	O
147	met	O	O
148	de	(28	O
149	uitvoerders	O	O
150	van	O	O
151	de	(30|(29	O
152	regeling	O	O
153	Bed	(31)|(32	O
154	,	O	O
155	Bad	(33)	O
156	,	O	O
157	Brood	(34)	O
158	,	O	O
159	Budget	(35)	O
160	(	O	O
161	BBBB	32)|29)|(35)	O
162	)	O	O
163	en	O	O
164	de	(36	O
165	regeling	O	O
166	Time	O	O
167	Out	36)|30)|28)	O
168	,	O	O
169	om	O	O
170	te	O	O
171	onderzoeken	O	O
172	op	O	O
173	welke	(37	O
174	manier	37)	O
175	een	(38	O
176	verruiming	O	O
177	van	O	O
178	de	(39	O
179	duur	O	O
180	van	O	O
181	de	(40	O
182	opvang	40)|39)|38)	O
183	het	O	O
184	beste	O	O
185	kan	O	O
186	worden	O	O
187	gerealiseerd	O	O
188	.	O	O
189	In	O	O
190	deze	(41	O
191	brief	41)	O
192	informeer	O	O
193	ik	(2)	O
194	u	(15)	O
195	over	O	O
196	de	(42	O
197	uitkomsten	O	O
198	van	O	O
199	dit	(43	O
200	overleg	43)|42)	O
201	.	O	O
202	Een	(44	O
203	afschrift	O	O
204	van	O	O
205	deze	(41	O
206	brief	41)|44)	O
207	stuur	O	O
208	ik	(2)	O
209	aan	O	O
210	de	(45	O
211	Tweede	O	O
212	Kamer	45)	O
213	.	O	O
214	Voor	O	O
215	veteranen	(46	O
216	die	O	O
217	hun	(47)|(48	O
218	woning	48)	O
219	–	O	O
220	door	O	O
221	wat	(49	O
222	voor	O	O
223	reden	O	O
224	dan	O	O
225	ook	49)	O
226	–	O	O
227	moeten	O	O
228	verlaten	46)	O
229	,	O	O
230	bestaan	O	O
231	er	O	O
232	twee	(50	O
233	hulpregelingen	50)	O
234	.	O	O
235	Dat	(51)	O
236	zijn	O	O
237	de	(52	O
238	BBBB-	O	O
239	en	O	O
240	de	(53	O
241	Time	O	O
242	Out-	O	O
243	regeling	53)|52)	O
244	.	O	O
245	De	(54	O
246	BBBB-regeling	54)	O
247	heeft	O	O
248	tot	O	O
249	doel	O	O
250	de	(55	O
251	behoevende	O	O
252	veteraan	55)	O
253	te	O	O
254	ondersteunen	O	O
255	bij	O	O
256	het	(56	O
257	overbruggen	O	O
258	van	O	O
259	de	(57	O
260	dagen	57)	O
261	totdat	O	O
262	hij	(58)|(55	O
263	of	O	O
264	zij	55)|(59)	O
265	terecht	O	O
266	kan	O	O
267	bij	O	O
268	familie	(60)|(61	O
269	,	O	O
270	kennissen	(62)	O
271	of	O	O
272	gemeentelijke	(63	O
273	opvangvoorzieningen	63)|61)|56)	O
274	.	O	O
275	De	(53	O
276	Time	O	O
277	Out-	O	O
278	voorziening	53)	O
279	biedt	O	O
280	veteranen	(64)	O
281	de	(65	O
282	mogelijkheid	O	O
283	om	O	O
284	buiten	O	O
285	de	(66	O
286	thuissituatie	66)	O
287	tot	O	O
288	rust	(67)	O
289	te	O	O
290	komen	O	O
291	,	O	O
292	waarbij	O	O
293	de	(68	O
294	terugkeer	O	O
295	naar	O	O
296	de	(69	O
297	thuissituatie	69)|68)	O
298	het	(70	O
299	doel	70)	O
300	is	65)	O
301	.	O	O
302	Naar	O	O
303	aanleiding	O	O
304	van	O	O
305	bovengenoemd	(71	O
306	overleg	O	O
307	over	O	O
308	beide	(50	O
309	regelingen	50)|71)	O
310	,	O	O
311	zal	O	O
312	vanaf	O	O
313	nu	O	O
314	meer	(72	O
315	maatwerk	O	O
316	worden	O	O
317	toegepast	O	O
318	,	O	O
319	waarbij	O	O
320	ook	O	O
321	de	(73	O
322	verblijfsduur	73)	O
323	met	O	O
324	enkele	(74	O
325	dagen	74)	O
326	verlengd	O	O
327	kan	O	O
328	worden	72)	O
329	.	O	O
330	Daarmee	O	O
331	wordt	O	O
332	concreet	(75	O
333	invulling	75)	O
334	gegeven	O	O
335	aan	O	O
336	uw	(76	O
337	aanbeveling	O	O
338	vier	76)	O
339	.	O	O
340	In	O	O
341	ditzelfde	(77	O
342	overleg	77)	O
343	werd	O	O
344	door	O	O
345	de	(78	O
346	uitvoerders	O	O
347	van	O	O
348	de	(79	O
349	regelingen	79)|78)	O
350	aangegeven	O	O
351	dat	O	O
352	de	(81|(80	O
353	informatievoorziening	O	O
354	over	O	O
355	noodopvangmogelijkheden	80)|(82)	O
356	op	O	O
357	de	(83	O
358	website	O	O
359	van	O	O
360	het	(85|(84	O
361	Nederlands	O	O
362	Veteraneninstituut	84)	O
363	(	O	O
364	NLVi	85)|83)|81)|(84)	O
365	)	O	O
366	is	O	O
367	verbeterd	O	O
368	.	O	O
369	Ook	(86	O
370	dat	86)	O
371	stemt	O	O
372	mij	(2)	O
373	positief	O	O
374	.	O	O
375	Pagina	(87	O
376	2	(88)	O
377	van	O	O
378	3	O	O
379	Hoofddirectie	O	O
380	Personeel	O	O
381	Datum	O	O
382	:	O	O
383	24	(89	O
384	maart	O	O
385	2023	89)|87)	O
386	Onze	(90)|(91	O
387	referentie	O	O
388	BS2022027879	91)	O
389	Tot	O	O
390	slot	(92)	O
391	hebben	O	O
392	het	(94|(93	O
393	Leger	O	O
394	des	O	O
395	Heils	93)	O
396	en	O	O
397	het	(84	O
398	NLVi	84)|94)	O
399	een	(95	O
400	voorstel	O	O
401	voor	O	O
402	de	(96	O
403	opzet	O	O
404	van	O	O
405	een	(97	O
406	landelijke	O	O
407	opvang	O	O
408	voor	O	O
409	zorgbehoevende	(98	O
410	veteranen	O	O
411	gedaan	O	O
412	die	O	O
413	reeds	O	O
414	dakloos	O	O
415	zijn	98)|97)|96)|95)	O
416	.	O	O
417	Dit	(95	O
418	voorstel	95)	O
419	is	O	O
420	op	O	O
421	1	(100|(99	O
422	december	99)	O
423	jongstleden	100)	O
424	aan	O	O
425	mij	(2)	O
426	gepresenteerd	O	O
427	en	O	O
428	ik	(2)	O
429	heb	O	O
430	aangeven	O	O
431	dit	(95	O
432	voorstel	95)	O
433	te	O	O
434	willen	O	O
435	steunen	O	O
436	.	O	O
437	Hierbij	O	O
438	heb	O	O
439	ik	(2)	O
440	ook	O	O
441	benadrukt	O	O
442	dat	O	O
443	voor	O	O
444	het	(101	O
445	realiseren	O	O
446	van	O	O
447	deze	(97	O
448	opvangvoorziening	97)|101)	O
449	een	O	O
450	gezamenlijke	O	O
451	betrokkenheid	O	O
452	van	O	O
453	het	(102	O
454	Leger	O	O
455	des	O	O
456	Heils	102)	O
457	,	O	O
458	NLVi	(103)	O
459	,	O	O
460	Defensie	(104)	O
461	en	O	O
462	andere	(105	O
463	partijen	O	O
464	die	O	O
465	in	O	O
466	het	(95	O
467	voorstel	95)	O
468	worden	O	O
469	genoemd	105)	O
470	belangrijk	O	O
471	is	O	O
472	.	O	O
473	Het	(106|(84	O
474	NLVi	84)	O
475	en	O	O
476	het	(93	O
477	Leger	O	O
478	des	O	O
479	Heils	93)|106)	O
480	zullen	O	O
481	het	(95	O
482	voorstel	95)	O
483	verder	O	O
484	uitwerken	O	O
485	.	O	O
486	Zodra	O	O
487	het	(95)	O
488	gereed	O	O
489	is	O	O
490	,	O	O
491	zal	O	O
492	ik	(2)	O
493	u	(107)	O
494	hierover	O	O
495	informeren	O	O
496	.	O	O
497	DE	(108	O
498	MINISTER	O	O
499	VAN	O	O
500	DEFENSIE	O	O
501	drs	O	O
502	.	O	O
503	K.H.	O	B-PER
504	Ollongren	O	E-PER
505	Pagina	O	O
506	3	(109)	O
507	van	O	O
508	3	(110	O
509	Hoofddirectie	O	O
510	Personeel	O	O
511	Datum	110)	O
512	:	O	O
513	24	(111	O
514	maart	O	O
515	2023	111)|108)	O
516	Onze	(112)	O
517	referentie	O	O
518	BS2022027879	O	O
519	VERZENDLIJST	O	O
520	Inspecteur-Generaal	O	O
521	der	O	O
522	Krijgsmacht	O	O
523	tevens	O	O
524	Inspecteur	O	O
525	der	O	O
526	Veteranen	O	O
527	Luitenant-generaal	O	O
528	der	O	O
529	mariniers	O	O
530	F.G.	O	B-PER
531	van	O	I-PER
532	Sprang	O	E-PER
533	De	O	O
534	Zwaluwenberg	O	O
535	225	O	O
536	1213	O	O
537	TR	O	O
538	Hilversum	O	O
539	Directeur-bestuurder	O	O
540	Nederlands	O	O
541	Veteranen	O	O
542	instituut	O	O
543	Brigade-generaal	O	O
544	P.G.F.	O	B-PER
545	Hoefsloot	O	E-PER
546	Willem	O	O
547	van	O	O
548	Lanschotlaan	O	O
549	1	O	O
550	3941	O	O
551	XV	O	O
552	Doorn	(113)	O
