	token	coref	ner
763	media	188)|184)	O
764	.	O	O
765	In	O	O
766	dat	(189	O
767	kader	189)	O
768	kan	O	O
769	een	(190	O
770	politicus	190)	O
771	dus	O	O
772	ook	O	O
773	voorkomen	O	O
774	in	O	O
775	de	(191	O
776	trends	O	O
777	fenomenen	(192	O
778	die	O	O
779	de	(17	O
780	NCTV	17)	O
781	bekijkt	192)|191)	O
782	,	O	O
783	maar	O	O
784	dat	(193)	O
785	is	O	O
786	iets	(194	O
787	anders	O	O
788	dan	O	O
789	het	(195	O
790	gericht	O	O
791	monitoren	O	O
792	van	O	O
793	politici	(143)|(196	O
794	en	O	O
795	politieke	(197	O
796	partijen	197)|196)|195)|194)	O
797	.	O	O
798	Dit	(198)	O
799	is	O	O
800	naar	O	O
801	mijn	(190)|(199	O
802	oordeel	199)	O
803	in	O	O
804	lijn	(200)	O
805	met	O	O
806	wat	O	O
807	mijn	(190)|(201	O
808	ambtsvoorganger	201)	O
809	eerder	O	O
810	met	O	O
811	de	(3	O
812	Kamer	3)	O
813	heeft	O	O
814	besproken	O	O
815	.	O	O
816	Vraag	(202	O
817	7	(203)	O
818	en	O	O
819	8	202)|(204)	O
820	Klopt	O	O
821	het	(205)	O
822	dat	O	O
823	het	(207|(206	O
824	Kamerlid	O	O
825	Kuzu	206)	S-PER
826	(	O	O
827	DENK	207)|(208)	O
828	)	O	O
829	door	O	O
830	de	(17	O
831	NCTV	17)	O
832	is	O	O
833	gekenschetst	O	O
834	als	O	O
835	de	(17	O
836	«	O	O
837	lange	O	O
838	arm	O	O
839	van	O	O
840	Turkije	17)|(209)	O
841	»	O	O
842	?	O	O
843	Waarom	O	O
844	doet	O	O
845	de	(17	O
846	NCTV	17)	O
847	dit	(210	O
848	soort	O	O
849	discriminerende	O	O
850	en	O	O
851	aanmatigende	O	O
852	uitspraken	210)	O
853	?	O	O
854	Wat	(211)	O
855	zegt	O	O
856	dit	(212)	O
857	over	O	O
858	de	(213	O
859	insteek	O	O
860	en	O	O
861	benadering	O	O
862	van	O	O
863	de	(17	O
864	NCTV	17)|213)	O
865	?	O	O
866	Antwoord	O	O
867	7	(214)	O
868	en	O	O
869	8	(215)	O
870	Zoals	O	O
871	aangegeven	O	O
872	in	O	O
873	antwoord	(216	O
874	op	O	O
875	vragen	(217	O
876	1	(218)	O
877	,	O	O
878	2	(219)	O
879	en	O	O
880	3	217)|216)|(220)	O
881	vind	O	O
882	ik	(221)	O
883	dat	O	O
884	analyses	(222)	O
885	feitelijk	O	O
886	van	O	O
887	aard	(223)	O
888	dienen	O	O
889	te	O	O
890	zijn	O	O
891	.	O	O
892	De	(224	O
893	Weekberichten	O	O
894	zoals	O	O
895	u	(225)	O
896	die	(226)	O
897	heeft	O	O
898	gezien	224)	O
899	keren	O	O
900	dan	O	O
901	ook	O	O
902	niet	O	O
903	meer	O	O
904	terug	O	O
905	.	O	O
906	In	O	O
907	het	(227	O
908	wetsvoorstel	O	O
909	dat	O	O
910	momenteel	O	O
911	in	O	O
912	behandeling	O	O
913	is	227)	O
914	,	O	O
915	is	O	O
916	namelijk	O	O
917	vastgelegd	O	O
918	dat	O	O
919	de	(228	O
920	analysetaak	O	O
921	van	O	O
922	de	(17	O
923	NCTV	17)|228)	O
924	is	O	O
925	beperkt	O	O
926	tot	O	O
927	het	(229	O
928	signaleren	O	O
929	,	O	O
930	analyseren	O	O
931	en	O	O
932	duiden	O	O
933	van	O	O
934	trends	(230	O
935	en	O	O
936	fenomenen	230)	O
937	op	O	O
938	het	O	O
939	gebied	O	O
940	van	O	O
941	terrorismebestrijding	(231)|(232	O
942	en	O	O
943	nationale	(233	O
944	veiligheid	233)|232)|229)	O
945	.	O	O
946	Daarbij	O	O
947	is	O	O
948	expliciet	O	O
949	bepaald	O	O
950	dat	O	O
951	het	(234	O
952	doen	O	O
953	van	O	O
954	onderzoek	O	O
955	dat	O	O
956	gericht	O	O
957	is	O	O
958	op	O	O
959	personen	(235)|(236	O
960	en	O	O
961	organisaties	236)|234)|(237)	O
962	daar	(238)	O
963	niet	O	O
964	bij	O	O
965	hoort	O	O
966	.	O	O
967	Tweede	(239	O
968	Kamer	239)	O
969	,	O	O
970	vergaderjaar	(28	O
971	2021–2022	28)|(240)	O
972	,	O	O
973	Aanhangsel	(241	O
974	2	O	O
975	Vraag	O	O
976	9	241)|(242)	O
977	Deelt	O	O
978	u	(36)	O
979	de	(243	O
980	mening	O	O
981	dat	O	O
982	het	(244)	O
983	niet	O	O
984	de	(245	O
985	taak	O	O
986	van	O	O
987	de	(17	O
988	NCTV	17)|245)	O
989	is	O	O
990	een	(246	O
991	politieke	O	O
992	politie	O	O
993	te	O	O
994	spelen	O	O
995	,	O	O
996	die	O	O
997	niet	O	O
998	thuishoort	O	O
999	in	O	O
1000	een	(247	O
1001	democratische	O	O
1002	rechtsstaat	247)|246)|243)	O
1003	?	O	O
1004	Zo	O	O
1005	nee	O	O
1006	,	O	O
1007	waarom	O	O
1008	niet	O	O
1009	?	O	O
1010	Antwoord	O	O
1011	9	O	O
1012	Ik	(221)	O
1013	ben	O	O
1014	van	O	O
1015	mening	O	O
1016	dat	O	O
1017	er	O	O
1018	geen	(249|(248	O
1019	ruimte	248)	O
1020	is	O	O
1021	in	O	O
1022	Nederland	(51)	O
1023	voor	O	O
1024	een	(250	O
1025	politieke	O	O
1026	politie	250)|249)	O
1027	.	O	O
1028	Naar	O	O
1029	mijn	(221)|(251	O
1030	oordeel	251)	O
1031	speelt	O	O
1032	de	(17	O
1033	NCTV	17)	O
1034	die	(252	O
1035	rol	252)	O
1036	ook	O	O
1037	niet	O	O
1038	.	O	O
1039	Zoals	O	O
1040	op	O	O
1041	verschil-	(253	O
1042	lende	O	O
1043	momenten	253)	O
1044	aangegeven	O	O
1045	zijn	O	O
1046	er	O	O
1047	in	O	O
1048	het	(254	O
1049	verleden	254)	O
1050	Weekberichten	(255	O
1051	versche-	O	O
1052	nen	O	O
1053	van	O	O
1054	de	(256|(17	O
1055	NCTV	17)	O
1056	die	O	O
1057	niet	O	O
1058	zo	O	O
1059	opgesteld	O	O
1060	hadden	O	O
1061	moeten	O	O
1062	worden	256)|255)	O
1063	.	O	O
1064	Sinds	O	O
1065	maart	O	O
1066	2021	(257)	O
1067	worden	O	O
1068	die	(258)	O
1069	ook	O	O
1070	niet	O	O
1071	meer	O	O
1072	gemaakt	O	O
1073	.	O	O
1074	Deze	(259	O
1075	Weekberichten	259)	O
1076	keren	O	O
1077	dan	O	O
1078	ook	O	O
1079	niet	O	O
1080	meer	O	O
1081	terug	O	O
1082	.	O	O
1083	Dit	(260)	O
1084	is	O	O
1085	ook	O	O
1086	geborgd	O	O
1087	onder	O	O
1088	het	(227	O
1089	nieuwe	O	O
1090	wetsvoorstel	227)	O
1091	.	O	O
1092	Vraag	O	O
1093	10	(261)	O
1094	Welke	(262	O
1095	informatie	262)	O
1096	is	O	O
1097	er	O	O
1098	verzameld	O	O
1099	?	O	O
1100	Hoe	O	O
1101	krijgen	O	O
1102	de	(263	O
1103	betrokken	O	O
1104	Kamerleden	263)	O
1105	inzicht	(264)	O
1106	hierin	O	O
1107	?	O	O
1108	Antwoord	(265	O
1109	10	265)|(266)	O
1110	Zoals	O	O
1111	blijkt	O	O
1112	uit	O	O
1113	de	(267	O
1114	Weekberichten	267)	O
1115	zijn	O	O
1116	open	O	O
1117	bronnen	O	O
1118	geraadpleegd	O	O
1119	die	O	O
1120	toegankelijk	O	O
1121	zijn	O	O
1122	voor	O	O
1123	een	(269|(268	O
1124	ieder	268)	O
1125	,	O	O
1126	waaronder	(272|(271|(270	O
1127	sociale	O	O
1128	media	270)	O
1129	en	O	O
1130	internetfora	271)|(273)	O
1131	,	O	O
1132	over	O	O
1133	trends	(274	O
1134	en	O	O
1135	ontwikkelingen	(275	O
1136	op	O	O
1137	het	O	O
1138	gebied	O	O
1139	van	O	O
1140	terrorisme	(276)|(277	O
1141	,	O	O
1142	extremisme	(278)	O
1143	,	O	O
1144	radicalisering	(279)	O
1145	en	O	O
1146	polarisatie	277)|275)|274)|272)|269)|(280)	O
1147	.	O	O
1148	Daarbij	O	O
1149	zijn	O	O
1150	ook	O	O
1151	uitingen	(281	O
1152	van	O	O
1153	een	(282	O
1154	beperkt	O	O
1155	aantal	O	O
1156	politici	282)|281)|(143)	O
1157	in	O	O
1158	beeld	(283)	O
1159	gekomen	O	O
1160	.	O	O
1161	Dat	(284)	O
1162	was	O	O
1163	in	O	O
1164	verreweg	(285	O
1165	de	O	O
1166	meeste	O	O
1167	gevallen	285)	O
1168	omdat	O	O
1169	personen	(286	O
1170	in	O	O
1171	de	(75	O
1172	samenleving	75)|286)	O
1173	heftig	O	O
1174	reageerden	O	O
1175	op	O	O
1176	die	(287	O
1177	uitingen	O	O
1178	,	O	O
1179	die	O	O
1180	soms	O	O
1181	zo	O	O
1182	ver	O	O
1183	gingen	O	O
1184	dat	O	O
1185	deze	(288)	O
1186	in	O	O
1187	(	O	O
1188	doods	(289	O
1189	)	O	O
1190	bedreigingen	289)	O
1191	uitmondden	287)	O
1192	.	O	O
1193	In	O	O
1194	een	(290	O
1195	beperkt	O	O
1196	aantal	O	O
1197	gevallen	290)|(291)	O
1198	worden	O	O
1199	die	(292	O
1200	uitingen	292)	O
1201	verbonden	O	O
1202	aan	O	O
1203	mogelijke	(293	O
1204	effecten	O	O
1205	op	O	O
1206	polarisatie	(294	O
1207	en	O	O
1208	radicalisering	(295	O
1209	in	O	O
1210	de	(75	O
1211	Nederlandse	O	O
1212	samenleving	75)|295)|294)|293)	O
1213	.	O	O
1214	Er	O	O
1215	is	O	O
1216	geen	(296	O
1217	andersoortige	O	O
1218	persoonsgebonden	O	O
1219	informatie	O	O
1220	over	O	O
1221	politici	296)|(143)	O
1222	verzameld	O	O
1223	.	O	O
1224	Kamerleden	(298|(297	O
1225	die	O	O
1226	dat	(299)	O
1227	wensen	297)	O
1228	kunnen	O	O
1229	inzage	(300)	O
1230	krijgen	O	O
1231	in	O	O
1232	de	(301	O
1233	open	O	O
1234	bronnen	O	O
1235	waarin	O	O
1236	zij	(143)	O
1237	voorkomen	O	O
1238	,	O	O
1239	die	O	O
1240	door	O	O
1241	de	(17	O
1242	NCTV	17)	O
1243	zijn	O	O
1244	verzameld	301)|298)	O
1245	.	O	O
1246	Iedere	(302	O
1247	burger	302)	O
1248	kan	O	O
1249	dit	(303)	O
1250	ook	O	O
1251	,	O	O
1252	door	O	O
1253	het	(304	O
1254	doen	O	O
1255	van	O	O
1256	een	(305	O
1257	AVG-verzoek	305)|304)	O
1258	.	O	O
1259	Vraag	(306	O
1260	11	306)|(307)	O
1261	Op	O	O
1262	basis	O	O
1263	van	O	O
1264	welke	(309|(308	O
1265	wetten	308)	O
1266	en	O	O
1267	regels	309)	O
1268	is	O	O
1269	deze	(310	O
1270	informatie	310)	O
1271	verzameld	O	O
1272	?	O	O
1273	Antwoord	(311	O
1274	11	311)|(312)	O
1275	De	(313	O
1276	heersende	O	O
1277	opvatting	313)	O
1278	was	O	O
1279	tot	O	O
1280	enkele	(314	O
1281	jaren	314)	O
1282	geleden	O	O
1283	dat	O	O
1284	er	O	O
1285	voldoende	(315	O
1286	juridische	O	O
1287	basis	O	O
1288	voor	O	O
1289	internetmonitoring	315)|(316)	O
1290	was	O	O
1291	.	O	O
1292	Die	(317	O
1293	grondslag	317)	O
1294	was	O	O
1295	het	(318	O
1296	organisatiebesluit	O	O
1297	van	O	O
1298	het	(319	O
1299	Ministerie	O	O
1300	van	O	O
1301	JenV	319)|(320)	O
1302	.	O	O
1303	Het	(321	O
1304	Organisatiebesluit	O	O
1305	,	O	O
1306	waarin	O	O
1307	de	(322	O
1308	publieke	O	O
1309	taak	O	O
1310	van	O	O
