	token	coref	ner
444	beide	(105	O
445	gemeenten	105)|104)|102)	O
446	tot	O	O
447	stand	O	O
448	is	O	O
449	gebracht	101)	O
450	.	O	O
451	De	(14	O
452	gemeente	O	O
453	Amsterdam	14)	O
454	heeft	O	O
455	hierbij	O	O
456	een	(106	O
457	faciliterende	O	O
458	en	O	O
459	coördinerende	O	O
460	rol	106)	O
461	gehad	O	O
462	.	O	O
463	De	(107	O
464	verbeterpunten	107)	O
465	zijn	O	O
466	op	O	O
467	26	(108	O
468	september	O	O
469	2017	108)	O
470	door	O	O
471	het	(109	O
472	college	109)	O
473	vastgesteld	O	O
474	en	O	O
475	aansluitend	O	O
476	naar	O	O
477	de	(110	O
478	gezamenlijke	O	O
479	Inspecties	110)	O
480	gezonden	O	O
481	.	O	O
482	Op	O	O
483	22	(111	O
484	december	O	O
485	2017	111)	O
486	ontvingen	O	O
487	beide	(105	O
488	gemeenten	105)	O
489	een	(112	O
490	positieve	O	O
491	reactie	O	O
492	op	O	O
493	deze	(113	O
494	punten	113)|112)	O
495	.	O	O
496	Daarmee	O	O
497	sluit	O	O
498	de	(114	O
499	inspectie	114)	O
500	de	(115	O
501	melding	115)	O
502	af	O	O
503	.	O	O
504	U	(116)	O
505	treft	O	O
506	deze	(117	O
507	brief	O	O
508	van	O	O
509	de	(114	O
510	inspectie	114)|117)	O
511	in	O	O
512	de	(118	O
513	bijlage	118)	O
514	aan	O	O
515	.	O	O
516	Toelichting	(119)	O
517	:	O	O
518	In	O	O
519	onderling	(120	O
520	overleg	120)	O
521	is	O	O
522	door	O	O
523	de	(105	O
524	gemeenten	105)	O
525	besloten	O	O
526	om	O	O
527	de	(121	O
528	raad	121)	O
529	gelijktijdig	O	O
530	en	O	O
531	op	O	O
532	dezelfde	(122	O
533	wijze	122)	O
534	kennis	O	O
535	te	O	O
536	laten	O	O
537	nemen	O	O
538	van	O	O
539	de	(123	O
540	bevindingen	O	O
541	van	O	O
542	de	(114	O
543	inspectie	114)|123)	O
544	.	O	O
545	De	(124	O
546	brief	O	O
547	die	O	O
548	hier	O	O
549	voor	O	O
550	ligt	124)	O
551	is	O	O
552	ter	O	O
553	kennisneming	O	O
554	naar	O	O
555	de	(121	O
556	beide	O	O
557	raden	121)	O
558	gestuurd	O	O
559	.	O	O
560	Het	(126|(125	O
561	antwoord	O	O
562	van	O	O
563	de	(128|(127	O
564	gemeente	O	O
565	Haarlemmerliede	127)	O
566	en	O	O
567	Spaarnwoude	128)|125)|(129)	O
568	op	O	O
569	de	(130	O
570	vijfde	O	O
571	vraag	O	O
572	van	O	O
573	de	(58	O
574	inspecties	58)|130)|126)	O
575	is	O	O
576	naar	O	O
577	de	(131	O
578	mening	O	O
579	van	O	O
580	de	(58	O
581	inspecties	58)|131)	O
582	nog	O	O
583	onvoldoende	O	O
584	concreet	O	O
585	beschreven	O	O
586	.	O	O
587	Het	(132)	O
588	betreft	O	O
589	hier	O	O
590	de	(133	O
591	vraag	O	O
592	welke	(134	O
593	acties	O	O
594	uit	O	O
595	de	(135	O
596	verbeteraanpak	135)	O
597	,	O	O
598	voortkomend	O	O
599	uit	O	O
600	het	(136	O
601	onderzoek	O	O
602	van	O	O
603	het	(137	O
604	Toezicht	O	O
605	Sociaal	O	O
606	Domein	137)|136)	O
607	,	O	O
608	voor	O	O
609	de	(25	O
610	gemeente	O	O
611	Haarlemmerliede	(138	O
612	en	O	O
613	Spaarnwoude	138)|25)|134)|(139)	O
614	relevant	O	O
615	en	O	O
616	toepasbaar	O	O
617	zijn	133)	O
618	.	O	O
619	De	(58	O
620	inspecties	58)	O
621	hebben	O	O
622	over	O	O
623	het	(140	O
624	antwoord	O	O
625	van	O	O
626	de	(141	O
627	gemeente	141)|140)	O
628	op	O	O
629	deze	(142	O
630	vraag	142)	O
631	overleg	(143	O
632	gevoerd	O	O
633	met	O	O
634	de	(25|(144	O
635	gemeente	O	O
636	Haarlemmerliede	144)	O
637	en	O	O
638	Spaarnwoude	25)|143)|(139)	O
639	.	O	O
640	Uit	O	O
641	deze	(145	O
642	gesprekken	145)	O
643	kwam	O	O
644	naar	O	O
645	voren	O	O
646	dat	O	O
647	de	(141	O
648	gemeente	141)	O
649	,	O	O
650	met	O	O
651	het	O	O
652	oog	O	O
653	op	O	O
654	de	(146	O
655	aanstaande	O	O
656	fusie	O	O
657	met	O	O
658	de	(147	O
659	gemeente	O	O
660	Haarlemmermeer	147)|146)	O
661	,	O	O
662	er	(148)	O
663	voor	O	O
664	gekozen	O	O
665	heeft	O	O
666	zich	(149)	O
667	te	O	O
668	beperken	O	O
669	tot	O	O
670	het	(150	O
671	noemen	O	O
672	van	O	O
673	die	(151	O
674	onderwerpen	O	O
675	die	O	O
676	zij	(141)	O
677	met	O	O
678	haar	(141)|(152	O
679	fusiepartner	152)	O
680	beoogt	O	O
681	verder	O	O
682	concreet	O	O
683	uit	O	O
684	te	O	O
685	werken	151)|150)	O
686	.	O	O
687	De	(153	O
688	gemeente	O	O
689	Haarlemmermeer	153)	O
690	heeft	O	O
691	aangegeven	O	O
692	dat	O	O
693	zij	(153)	O
694	zich	(154)	O
695	bij	O	O
696	deze	(155	O
697	ontwikkelpunten	155)	O
698	aan	O	O
699	wil	O	O
700	sluiten	O	O
701	.	O	O
702	De	(157|(156	O
703	punten	O	O
704	die	O	O
705	nader	O	O
706	uitgewerkt	O	O
707	zullen	O	O
708	worden	156)	O
709	betreffen	O	O
710	met	(158	O
711	name	O	O
712	de	O	O
713	regievoering	O	O
714	van	O	O
715	Veilig	(159	O
716	Thuis	O	O
717	en	O	O
718	politie	O	O
719	bij	O	O
720	een	(160	O
721	regio-overstijgende	O	O
722	casus	160)|159)|158)|157)	O
723	.	O	O
724	Deze	(161)	O
725	zijn	O	O
726	ook	O	O
727	apart	O	O
728	per	O	O
729	brief	(162)	O
730	aan	O	O
731	de	(114	O
732	inspectie	114)	O
733	gestuurd	O	O
734	en	O	O
735	hier	O	O
736	als	O	O
737	bijlage	(163)	O
738	toegevoegd	O	O
739	.	O	O
740	Ons	(70)|(164	O
741	kenmerk	O	O
742	X2018.59311	(165)	O
743	Volgvel	O	O
744	3	164)|(166)	O
745	Wij	(70)	O
746	hebben	O	O
747	daarom	O	O
748	met	O	O
749	de	(58	O
750	inspecties	58)	O
751	afgesproken	O	O
752	dat	O	O
753	zij	(167)	O
754	in	O	O
755	het	(168	O
756	eerste	O	O
757	kwartaal	O	O
758	van	O	O
759	2018	168)|(169)	O
760	geïnformeerd	O	O
761	worden	O	O
762	over	O	O
763	de	(171|(170	O
764	voortgang	O	O
765	van	O	O
766	deze	(172	O
767	verbeterpunten	172)|170)	O
768	en	O	O
769	de	(173	O
770	verdere	O	O
771	(	O	O
772	SMART	(174)	O
773	)	O	O
774	uitwerking	O	O
775	ervan	173)|171)	O
776	.	O	O
777	Wij	(70)	O
778	vertrouwen	O	O
779	er	(175)	O
780	op	O	O
781	u	(176)	O
782	hiermee	O	O
783	voldoende	O	O
784	te	O	O
785	hebben	O	O
786	geïnformeerd	O	O
787	.	O	O
788	Hoogachtend	O	O
789	,	O	O
790	burgemeester	(177	O
791	en	O	O
792	wethouders	(178	O
793	van	O	O
794	de	(25|(179	O
795	gemeente	O	O
796	Haarlemmerliede	179)	O
797	en	O	O
798	Spaarnwoude	25)|178)|177)|(180)	O
799	,	O	O
800	Bijlagen	O	O
801	:	O	O
802	/	O	O
803	•	O	O
804	brief	O	O
805	van	O	O
806	gezamenlijke	(181	O
807	inspecties	181)	O
808	bij	O	O
809	afsluiting	(182	O
810	van	O	O
811	oen	O	O
812	regio-overstijgende	O	O
813	casus	O	O
814	•	O	O
815	brief	O	O
816	van	O	O
817	gemeente	(184|(183	O
818	Haarlemmerliede	183)	O
819	en	O	O
820	Spaarnwoude	184)|182)|(185)	O
821	aan	O	O
822	Inspectie	(186	O
823	jeugdzorg	O	O
824	Pieter	O	B-PER
825	Heiliegers	O	E-PER
826	bucgemeester	O	O
827	,	O	O
828	Datum	O	O
829	22	(187	O
830	december	O	O
831	2017	187)	O
832	Betreft	O	O
833	Melding	O	O
834	100519	O	O
835	>	O	O
836	Retouradres	O	O
837	Postbus	O	O
838	483	O	O
839	3500	O	O
840	AL	O	O
841	Utrecht	186)	O
842	Het	O	O
843	college	O	O
844	van	O	O
845	Burgemeester	(188	O
846	en	O	O
847	Wethouders	(189	O
848	van	O	O
849	de	(14	O
850	gemeente	O	O
851	Amsterdam	14)|189)|188)	O
852	t.a.v.	O	O
853	de	O	O
854	wethouder	O	O
855	jeugd	O	O
856	Mevrouw	O	O
857	S.	O	B-PER
858	Kukenheim	O	E-PER
859	Postbus	O	O
860	202	(190)	O
861	1000	O	O
862	AE	O	O
863	AMSTERDAM	O	O
864	Pagina	O	O
865	1	(191)	O
866	van	O	O
867	4	O	O
868	Bezoekadres	O	O
869	:	O	O
870	Stadsplateau	O	O
871	1	O	O
872	3521	O	O
873	AZ	O	O
874	Utrecht	O	O
875	T	O	O
876	88	O	O
877	370	O	O
878	2	O	O
879	30	O	O
880	Inlichtingen	O	O
881	via	O	O
882	post@commissiemeldingenjeugd.nl	O	O
883	Contactpersoon	O	O
884	mw.	O	O
885	drs.	O	O
886	N.	O	B-PER
887	Hippe	O	E-PER
888	Ons	O	O
889	kenmerk	O	O
890	IJZ/171212468-MIJ/100519	O	O
891	Inspectie	O	O
892	Gezondheidszorg	O	O
893	en	O	O
894	Jeugd	O	O
895	Inspectie	O	O
896	Veiligheid	O	O
897	en	O	O
898	Justitie	O	O
899	Commissie	O	O
900	Meldingen	O	O
901	Jeugd	O	O
902	Geachte	O	O
903	mevrouw	O	O
904	Kukenheim	O	S-PER
905	en	O	O
906	heer	(192	O
907	Van	O	B-PER
908	Haeften	192)	E-PER
909	,	O	O
910	De	(193	O
911	brief	193)	O
912	is	O	O
913	zowel	O	O
914	aan	O	O
915	u	(176)	O
916	als	O	O
917	aan	O	O
918	de	(195|(194	O
919	heer	O	O
920	Van	O	B-PER
921	Haeften	194)	E-PER
922	,	O	O
923	wethouder	(196	O
924	jeugd	O	O
925	van	O	O
926	de	(25|(197	O
927	gemeente	O	O
928	Haarlemmerliede	197)	O
929	en	O	O
930	Spaarnwoude	25)|196)|195)|(198)	O
931	gericht	O	O
932	.	O	O
933	Dit	(199)	O
934	is	O	O
935	gedaan	O	O
936	omdat	O	O
937	de	(193	O
938	brief	193)	O
939	zowel	O	O
940	aan	O	O
941	uw	(200	O
942	gemeente	200)	O
943	als	O	O
944	aan	O	O
945	de	(25|(201	O
946	gemeente	O	O
947	Haarlemmerliede	201)	O
948	en	O	O
949	Spaarnwoude	25)|(202)	O
950	zal	O	O
951	worden	O	O
952	verzonden	O	O
953	.	O	O
954	In	O	O
955	januari	(203	O
956	2017	203)|(204)	O
957	ontvingen	O	O
958	de	(206|(205	O
959	Inspectie	O	O
960	Jeugdzorg	205)	O
961	,	O	O
962	Inspectie	O	O
963	voor	O	O
964	de	(207	O
965	Gezondheidszorg1	207)	O
966	en	O	O
967	Inspectie	O	O
968	Veiligheid	O	O
969	en	O	O
970	Justitie	O	O
971	(	O	O
972	hierna	O	O
973	:	O	O
974	de	(58	O
975	inspecties	58)|206)	O
976	)	O	O
977	een	(208	O
978	melding	208)	O
979	.	O	O
980	De	(209	O
981	melding	209)	O
982	betrof	O	O
983	ernstig	(210	O
984	geweld	O	O
985	richting	O	O
986	een	(211	O
987	kind	211)	O
988	door	O	O
989	toedoen	(212	O
990	van	O	O
991	een	(213	O
992	ouder	213)|212)	O
993	,	O	O
994	met	O	O
995	als	O	O
996	uiteindelijk	(214	O
997	gevolg	214)	O
998	het	(215	O
999	overlijden	O	O
1000	van	O	O
1001	het	(211	O
1002	kind	211)|215)|210)	O
1003	.	O	O
1004	Bij	O	O
1005	het	(216	O
1006	gezin	216)	O
1007	waren	O	O
1008	verschillende	(217	O
1009	organisaties	217)	O
1010	·	O	O
1011	die	O	O
1012	(	O	O
1013	jeugd	(218)	O
1014	)	O	O
1015	hulpverlening	(219)	O
1016	boden	O	O
1017	betrokken	O	O
1018	.	O	O
1019	Het	(220)	O
1020	betroffen	O	O
1021	organisaties	(222|(221	O
1022	die	O	O
1023	werkzaam	O	O
1024	waren	O	O
1025	binnen	O	O
1026	de	(14	O
1027	gemeente	O	O
1028	Amsterdam	14)|221)	O
1029	,	O	O
1030	dan	O	O
1031	wel	O	O
1032	binnen	O	O
1033	de	(25|(24	O
1034	gemeente	O	O
1035	Haarlemmerliede	24)	O
1036	en	O	O
1037	Spaarnwoude	25)|222)|(223)	O
1038	.	O	O
1039	Alle	(224	O
1040	organisaties	224)	O
1041	vielen	O	O
1042	onder	O	O
1043	het	O	O
1044	toezicht	O	O
1045	van	O	O
1046	de	(58	O
1047	inspecties	58)	O
1048	,	O	O
1049	met	O	O
1050	uitzondering	O	O
1051	van	O	O
1052	de	(225	O
1053	BlijfGroep	O	O
1054	uit	O	O
1055	Amsterdam	225)|(14)	O
1056	.	O	O
1057	Deze	(226)	O
1058	viel	O	O
1059	,	O	O
1060	gezien	O	O
1061	de	(227	O
1062	bekostiging	O	O
1063	ervan	O	O
1064	vanuit	O	O
1065	de	(228	O
1066	WMO	228)|227)	O
1067	,	O	O
1068	onder	O	O
1069	het	(229	O
1070	toezicht	O	O
1071	van	O	O
1072	de	(230	O
1073	WMO-toezichthouder	O	O
1074	van	O	O
1075	de	(14	O
1076	gemeente	O	O
1077	Amsterdam	14)|230)|229)	O
1078	.	O	O
1079	Laatstgenoemde	(231)	O
1080	is	O	O
1081	daarom	O	O
1082	destijds	O	O
1083	bij	O	O
1084	het	(232	O
1085	onderzoek	O	O
1086	van	O	O
1087	de	(58	O
1088	inspecties	58)|232)	O
1089	betrokken	O	O
1090	.	O	O
1091	Het	(233	O
1092	onderzoek	O	O
1093	naar	O	O
1094	de	(234	O
1095	melding	234)|233)	O
1096	De	(235|(58	O
1097	inspecties	58)	O
1098	en	O	O
1099	de	(236	O
1100	WMO	O	O
1101	toezichthouder	236)|235)	O
1102	hebben	O	O
1103	elke	(237	O
1104	betrokken	O	O
1105	organisatie	237)	O
1106	afzonderlijk	O	O
1107	verzocht	O	O
1108	hen	(238)	O
1109	een	(239	O
1110	reconstructie	O	O
1111	toe	O	O
1112	te	O	O
1113	sturen	O	O
1114	van	O	O
1115	de	(241|(240	O
1116	geboden	O	O
1117	hulp	O	O
1118	aan	O	O
1119	het	(216	O
1120	gezin	216)|240)	O
1121	en	O	O
1122	de	(242	O
1123	wijze	O	O
1124	waarop	O	O
1125	in	O	O
1126	deze	(243	O
1127	casus	243)	O
1128	was	O	O
1129	samengewerkt	O	O
1130	met	O	O
1131	andere	(244	O
1132	organisaties	244)|242)|241)|239)	O
1133	.	O	O
1134	De	(245	O
1135	toezichthouders	245)	O
1136	stelden	O	O
1137	op	O	O
1138	basis	O	O
1139	van	O	O
1140	deze	(246	O
1141	reconstructies	246)	O
1142	vast	O	O
1143	dat	O	O
1144	het	(247	O
1145	handelen	O	O
1146	van	O	O
1147	de	(248	O
1148	betrokken	O	O
1149	organisaties	248)|247)	O
1150	op	O	O
1151	een	(249	O
1152	aantal	O	O
1153	punten	249)|(250)	O
1154	tekortgeschoten	O	O
1155	was	O	O
1156	,	O	O
1157	waaronder	(251	O
1158	de	O	O
1159	kwaliteit	O	O
1160	van	O	O
1161	de	(252	O
1162	(	O	O
1163	keten	O	O
1164	)	O	O
1165	samenwerking	252)|251)	O
1166	.	O	O
1167	Een	(253	O
1168	deel	O	O
1169	van	O	O
1170	de	(254	O
1171	bevindingen	O	O
1172	van	O	O
1173	de	(245	O
1174	toezichthouders	245)|254)|253)	O
1175	kwam	O	O
1176	daarbij	O	O
1177	overeen	O	O
1178	met	O	O
1179	een	(255	O
1180	eerder	O	O
1181	uitgevoerd	O	O
1182	onderzoek	O	O
1183	van	O	O
1184	Toezicht	(256	O
1185	Sociaal	O	O
1186	Domein	O	O
1187	in	O	O
1188	de	(14	O
1189	gemeente	O	O
1190	Amsterdam	14)|256)|255)	O
1191	.	O	O
1192	1	O	O
1193	Met	O	O
1194	ingang	O	O
1195	van	O	O
1196	1	(257	O
1197	oktober	O	O
1198	2017	257)	O
1199	de	(258	O
1200	Inspectie	O	O
1201	Gezondheidszorg	O	O
1202	en	O	O
1203	Jeugd	258)	O
1204	in	O	O
1205	oprichting	(259)	O
1206	Commissie	O	O
1207	Meldingen	O	O
1208	Jeugd	O	O
1209	Ons	O	O
1210	kenmerk	O	O
1211	IJZ/171212468-MIJ/100519	O	O
1212	Pagina	O	O
1213	2	O	O
1214	van	O	O
1215	4	O	O
1216	Bijeenkomst	O	O
1217	gericht	O	O
1218	op	O	O
1219	leren	O	O
1220	en	O	O
1221	verbeteren	O	O
1222	De	(58	O
1223	inspecties	58)	O
1224	besloten	O	O
1225	,	O	O
1226	in	O	O
1227	overleg	(260	O
1228	met	O	O
1229	de	(261|(14	O
1230	gemeente	O	O
1231	Amsterdam	14)	O
1232	en	O	O
1233	de	(25|(262	O
1234	gemeente	O	O
1235	Haarlemmerliede	262)	O
1236	en	O	O
1237	Spaarnwoude	25)|261)|260)	O
1238	en	O	O
1239	in	O	O
1240	afstemming	(263	O
1241	met	O	O
1242	Toezicht	(137	O
1243	Sociaal	O	O
1244	Domein	137)|263)	O
1245	,	O	O
1246	om	O	O
1247	twee	(264	O
1248	bijeenkomsten	O	O
1249	te	O	O
1250	organiseren	O	O
1251	,	O	O
1252	gericht	O	O
1253	op	O	O
1254	leren	(266|(265	O
1255	van	O	O
1256	wat	O	O
1257	er	O	O
1258	niet	O	O
1259	goed	O	O
1260	verlopen	O	O
1261	is	265)	O
1262	en	O	O
1263	het	(267	O
1264	verbeteren	O	O
1265	van	O	O
1266	de	(268	O
1267	kwaliteit	O	O
1268	van	O	O
1269	de	(269	O
1270	samenwerking	269)|268)|267)|266)|264)	O
1271	.	O	O
1272	De	(14	O
1273	gemeente	O	O
1274	Amsterdam	14)	O
1275	heeft	O	O
1276	voor	O	O
1277	deze	(270	O
1278	bijeenkomsten	270)	O
1279	de	(271	O
1280	faciliteiten	271)	O
1281	ter	O	O
1282	beschikking	O	O
1283	gesteld	O	O
1284	.	O	O
1285	De	(272	O
1286	bijeenkomsten	O	O
1287	,	O	O
1288	waaronder	(273	O
1289	die	O	O
1290	voor	O	O
1291	de	(274	O
1292	bestuurders	O	O
1293	van	O	O
1294	de	(276|(275	O
1295	betrokken	O	O
1296	organisaties	275)	O
