	token	gold	model
99	te	['']	[]
100	adviseren	['']	[]
101	op	['']	[]
102	het	['']	[]
103	bestemmingsplan	['']	[]
104	Wheermolen	['']	[]
105	2010	['']	[]
106	te	['']	[]
107	Purmerend	['']	[]
108	.	['']	[]
109	Het	['']	[]
110	advies	['']	[]
111	gaat	['']	[]
112	in	['']	[]
113	op	['']	[]
114	het	['']	[]
115	groepsrisico	['']	[]
116	,	['']	[]
117	de	['']	[]
118	mogelijkheden	['']	[]
119	voor	['']	[]
120	hulpverlening	['']	[]
121	en	['']	[]
122	zelfredzaamheid	['']	[]
123	.	['']	[]
124	Hierbij	['']	[]
125	bieden	['']	[]
126	wij	['B_PER_1']	[]
127	u	['B_PER_2']	[]
128	het	['']	[]
129	gevraagde	['']	[]
130	externe	['']	[]
131	veiligheidsadvies	['']	[]
132	aan	['']	[]
133	.	['']	[]
134	Wij	['B_PER_1']	[]
135	verzoeken	['']	[]
136	u	['B_PER_2']	[]
137	dit	['']	[]
138	advies	['']	[]
139	en	['']	[]
140	de	['']	[]
141	genoemde	['']	[]
142	maatregelen	['']	[]
143	te	['']	[]
144	betrekken	['']	[]
145	bij	['']	[]
146	de	['']	[]
147	afweging	['']	[]
148	voor	['']	[]
149	het	['']	[]
150	nemen	['']	[]
151	van	['']	[]
152	de	['']	[]
153	beslissing	['']	[]
154	over	['']	[]
155	het	['']	[]
156	bestemmingsplan	['']	[]
157	Wheermolen	['']	[]
158	2010	['']	[]
159	.	['']	[]
160	Graag	['']	[]
161	ontvangen	['']	[]
162	wij	['B_PER_1']	[]
163	een	['']	[]
164	korte	['']	[]
165	terugkoppeling	['']	[]
166	van	['']	[]
167	uw	['B_PER_2']	[]
168	bevindingen	['']	[]
169	ten	['']	[]
170	aanzien	['']	[]
171	van	['']	[]
172	dit	['']	[]
173	advies	['']	[]
174	en/of	['']	[]
175	een	['']	[]
176	afschrift	['']	[]
177	van	['']	[]
178	uw	['B_PER_2']	[]
179	besluit	['']	[]
180	.	['']	[]
181	Voor	['']	[]
182	vragen	['']	[]
183	of	['']	[]
184	nadere	['']	[]
185	toelichting	['']	[]
186	kunt	['']	[]
187	u	['B_PER_2']	[]
188	contact	['']	[]
189	opnemen	['']	[]
190	met	['']	[]
191	mevrouw	['B_PER_3']	['B_PER_6']
192	M.	['I_PER_3']	['I_PER_6']
193	Fan	['I_PER_3']	['I_PER_6']
194	,	['']	[]
195	Beleidsmedewerker	['B_PER_3']	[]
196	Risicobeheersing	['']	[]
197	,	['']	[]
198	telefoonnummer	['']	[]
199	(	['']	[]
200	75	['']	[]
201	)	['']	[]
202	681	['']	[]
203	18	['']	[]
204	25	['']	[]
205	of	['']	[]
206	e-mail	['']	[]
207	m.fan@vrzw.nl	['B_PER_3']	['B_PER_7']
208	.	['']	[]
209	Een	['']	[]
210	afschrift	['']	[]
211	van	['']	[]
212	deze	['']	[]
213	brief	['']	[]
214	is	['']	[]
215	verstuurd	['']	[]
216	aan	['']	[]
217	de	['B_PER_4']	[]
218	commandant	['I_PER_4']	[]
219	van	['']	[]
220	Brandweer	['']	[]
221	Purmerend	['']	[]
222	de	['B_PER_4']	[]
223	heer	['I_PER_4']	['B_PER_8']
224	J.N.P.	['I_PER_4']	['I_PER_8']
225	Schouten	['I_PER_4']	['I_PER_8']
226	.	['']	[]
227	Wij	['B_PER_1']	[]
228	vertrouwen	['']	[]
229	erop	['']	[]
230	u	['B_PER_2']	[]
231	hiermee	['']	[]
232	voldoende	['']	[]
233	te	['']	[]
234	hebben	['']	[]
235	geïnformeerd	['']	[]
236	.	['']	[]
237	Hoogachtend	['']	[]
238	,	['']	[]
239	Namens	['']	[]
240	het	['']	[]
241	Veiligheidsbestuur	['']	[]
242	van	['']	[]
243	Veiligheidsregio	['']	[]
244	Zaanstreek-Waterland	['']	[]
245	,	['']	[]
246	Mevrou	['B_PER_5']	['B_PER_9']
247	/	['I_PER_5']	[]
248	‚J	['I_PER_5']	['B_PER_10']
249		['I_PER_5']	['I_PER_10']
250	Xan	['I_PER_5']	['I_PER_10']
251	Beek	['I_PER_5']	['I_PER_10']
252	Hoofd/Ádelindg	['']	[]
253	Crisisbeheersing	['']	[]
254	&	['']	[]
255	Rampenbestrijding	['']	[]
256	CC	['']	[]
257	:	['']	[]
258	Commandant	['B_PER_4']	[]
259	Brandweer	['']	[]
260	Purmerend	['']	[]
261	,	['']	[]
262	de	['B_PER_4']	[]
263	heer	['I_PER_4']	['B_PER_11']
264	J.N.P.	['I_PER_4']	['I_PER_11']
265	Schouten	['I_PER_4']	['I_PER_11']
266	,	['']	[]
267	Gorslaan	['']	[]
268	50	['']	[]
269	,	['']	[]
270	1441	['']	[]
271	RG	['']	[]
272	Purmerend	['']	[]
273	Bijlage	['']	[]
274	:	['']	[]
275	Advies	['']	[]
276	externe	['']	[]
277	veiligheid	['']	[]
278	bestemmingsplan	['']	[]
279	Wheermolen	['']	[]
280	2010	['']	[]
281	te	['']	[]
282	Purmerend	['']	[]
283	kenmerk	['']	[]
284	2011/21/RO/4594/1	['']	[]
285	,	['']	[]
286	d.d.	['']	[]
287	18	['']	[]
288	april	['']	[]
289	2011	['']	[]
